PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1009,29,26.4,19.4,65,14.26,100,11,298.8,340.5,301.3
1008,38,26.6,19.6,65,14.46,100,11,299.1,341.4,301.7
1000,106,26.4,18.4,61,13.5,100,11,299.6,339.2,302
999,115,26.4,18.4,61,13.51,101,11,299.6,339.4,302.1
993,168,25,19,69,14.13,109,10,298.8,340.1,301.3
992,177,24.9,19,70,14.12,110,10,298.8,340.1,301.3
925,787,19.6,17.2,86,13.53,210,3,299.3,339,301.8
924,796,19.4,17.1,87,13.46,211,3,299.2,338.7,301.6
920,834,19.4,16.8,85,13.26,216,3,299.6,338.6,302
913,900,19.6,15.1,75,11.96,225,3,300.5,335.8,302.6
906,966,19.4,14.4,73,11.51,233,3,300.9,335,303
890,1120,19,14,73,11.41,253,3,302,336,304.1
871,1305,18,11,64,9.55,278,3,302.9,331.5,304.6
853,1484,16.4,10.4,68,9.36,301,3,303,331.1,304.7
850,1514,16.2,11.2,72,9.92,305,3,303.1,332.9,304.9
838,1635,15,13.9,93,12.05,342,8,303.1,339.1,305.3
834,1676,15.1,13.2,88,11.56,355,10,303.6,338.2,305.7
830,1716,15.2,12.5,84,11.09,352,10,304.1,337.4,306.1
828,1737,15.4,9.4,67,9.02,350,10,304.5,331.8,306.2
826,1757,15.6,8.6,63,8.56,349,10,305,330.9,306.5
823,1788,15.6,10.6,72,9.84,347,10,305.3,335.1,307.1
819,1830,17,1,34,5.05,344,10,307.2,323,308.1
816,1861,17.4,-1.6,27,4.19,341,10,307.9,321.2,308.7
814,1882,17,5,45,6.76,340,10,307.7,328.7,309
809,1935,18,-1,28,4.42,336,10,309.3,323.4,310.1
790,2138,18.4,-9.6,14,2.35,321,10,311.9,319.7,312.3
743,2658,14.6,-13.4,13,1.84,282,10,313.2,319.5,313.6
740,2692,14.4,-7.6,21,2.93,280,10,313.4,323.1,313.9
704,3110,11.6,-15.4,14,1.65,249,10,314.8,320.4,315.1
700,3158,11.8,-19.2,10,1.2,245,10,315.5,319.7,315.8
695,3218,11.4,-21.4,8,1,240,11,315.8,319.3,315.9
692,3254,11.2,-22.8,7,0.89,240,11,315.9,319.1,316.1
679,3411,10.1,-21.7,9,1,240,10,316.4,319.9,316.6
651,3759,7.7,-19.1,13,1.3,275,11,317.5,322.1,317.7
641,3887,6.8,-18.2,15,1.43,286,10,317.9,322.9,318.2
604,4372,4.2,-29.8,6,0.54,330,4,320.3,322.3,320.4
585,4631,2.6,-16.4,23,1.82,354,1,321.4,327.8,321.8
580,4700,2.1,-18.7,20,1.52,0,0,321.6,327,321.9
571,4826,1.2,-22.8,15,1.08,359,1,322,325.9,322.2
529,5435,-3.3,-20.3,26,1.45,357,4,323.7,328.9,324
528,5450,-3.3,-22.3,21,1.22,357,4,323.9,328.3,324.1
526,5480,-3.3,-18.3,30,1.73,357,4,324.2,330.3,324.6
510,5724,-4.1,-22.1,23,1.28,356,5,326.1,330.8,326.4
508,5755,-4.1,-23.1,21,1.18,356,5,326.5,330.8,326.7
504,5817,-4.5,-19.5,30,1.63,355,6,326.7,332.6,327.1
500,5880,-4.9,-21.9,25,1.33,355,6,327,331.8,327.3
475,6282,-7.1,-28.1,17,0.8,346,10,329.1,332.1,329.3
473,6315,-7.2,-26.7,19,0.92,345,10,329.4,332.8,329.6
471,6348,-7.3,-25.3,22,1.04,344,10,329.6,333.5,329.9
458,6566,-9.1,-33.1,12,0.52,340,10,330.1,332.1,330.2
455,6617,-9.5,-26.5,24,0.97,339,10,330.2,333.8,330.4
434,6981,-12.5,-25.5,33,1.11,332,11,330.9,335,331.1
429,7069,-12.9,-29.5,24,0.78,330,11,331.4,334.4,331.6
427,7105,-13.1,-31.1,21,0.67,328,11,331.6,334.2,331.8
416,7304,-14.9,-27.9,32,0.93,315,12,331.8,335.3,332
413,7359,-15.3,-29.3,29,0.82,319,11,332,335.1,332.1
400,7600,-16.9,-34.9,19,0.5,335,8,332.9,334.9,333
386,7866,-18.9,-39.9,14,0.31,353,9,333.7,335,333.8
368,8220,-20.9,-44.9,10,0.19,18,10,335.6,336.4,335.7
363,8319,-21.8,-45.1,10,0.19,25,10,335.8,336.6,335.9
304,9595,-32.9,-48.5,20,0.16,15,20,337.6,338.3,337.7
300,9690,-33.7,-48.7,21,0.15,15,18,337.8,338.4,337.8
290,9925,-35.9,-50.1,22,0.13,20,16,337.9,338.5,338
275,10293,-39.3,-52.3,24,0.11,17,17,338.2,338.6,338.2
269,10444,-40.1,-57.1,15,0.06,16,17,339.1,339.4,339.1
267,10495,-40.7,-54.7,21,0.09,15,17,339,339.4,339
266,10521,-40.9,-54.9,21,0.08,15,17,339.1,339.4,339.1
258,10727,-42.6,-56.6,20,0.07,0,18,339.6,339.9,339.6
250,10940,-44.3,-58.3,20,0.06,10,17,340.1,340.3,340.1
244,11101,-45.7,-58.7,22,0.06,10,16,340.3,340.6,340.4
242,11156,-46.1,-62.1,15,0.04,10,16,340.5,340.7,340.6
240,11211,-46.1,-65.1,10,0.03,10,15,341.4,341.5,341.4
237,11294,-46.3,-65.3,10,0.02,10,15,342.3,342.4,342.3
227,11575,-48.9,-65.2,13,0.03,10,13,342.6,342.7,342.6
221,11749,-50.5,-65.2,16,0.03,20,17,342.8,342.9,342.8
215,11928,-52.1,-65.1,19,0.03,14,20,342.9,343.1,342.9
209,12110,-53.7,-63.7,28,0.03,9,23,343.2,343.4,343.2
207,12171,-54.1,-63.1,32,0.04,7,24,343.5,343.7,343.6
205,12233,-54.3,-66.3,21,0.02,5,25,344.2,344.3,344.2
202,12327,-54.7,-68.7,16,0.02,2,27,345,345.1,345
