,WMO,FAA,Station_Name,Continent,ICAO,RAOB STATION NAME,ST,CO,EL,  LAT,N, LONG,E
0,16429,LICT,Trapani/Birgi ,Africa,LICT,TRAPANI/BIRGI (AFB,,IT,7,37.92,N,12.5,E
1,16546,LIED,Decimomannu ,Africa,LIED,DECIMOMANNU,,IT,30,39.35,N,8.97,E
2,16754,LGIR,Heraklion (Airport) ,Africa,LGIR,IRAKLION (CIV/AFB),,GR,39,35.33,N,25.18,E
3,16716,LGAT,Athinai (Airport) ,Africa,LGAT,ATHENS/HELLENKION,,GR,15,37.9,N,23.73,E
4,17196,LTAU,Kayseri ,Africa,LTAM,KAISERI CITY,,TU,1043,38.72,N,35.5,E
5,17220,,Izmir/Guzelyali,Africa,,IZMIR,,TU,29,38.43,N,27.17,E
6,17240,LTBM,Isparta ,Africa,LTBM,ISPARTA,,TU,997,37.75,N,30.55,E
7,17351,,Adana/Bolge,Africa,,ADANA/BOLGE,,TU,28,36.98,N,35.35,E
8,40179,,Bet Dagan,Africa,,BET DAGAN,,IS,30,32.0,N,34.82,E
9,40373,OEPA,Al-Qaisumah ,Africa,OEPA,HAFR AL-BATIN ARPT,,SD,355,28.33,N,46.12,E
10,40375,OETB,Tabuk ,Africa,OETB,TABUK (SAUD-AFB),,SD,770,28.37,N,36.58,E
11,40394,OEHL,Hail ,Africa,OEHL,HAIL,,SD,1013,27.52,N,41.73,E
12,40417,OEDF,K.F.I.A.-Dammam ,Africa,OEDF,KING FAHAD INTERNA,,SD,12,26.45,N,49.82,E
13,40430,OEMA,Al-Madinah ,Africa,OEMA,MADINAH INTL ARPT,,SD,631,24.55,N,39.72,E
14,40766,OICC,Kermanshah ,Africa,OICC,KERMANSHAH/BAKTARA,,IR,1322,34.27,N,47.12,E
15,40800,OIFM,Esfahan ,Africa,OIFM,ESFAHAN (CIV/AFB),,IR,1590,32.62,N,51.67,E
16,40848,OISS,Shiraz ,Africa,OISS,SHIRAZ (CIV/AFB),,IR,1491,29.53,N,52.58,E
17,40856,OIZH,Zahedan ,Africa,OIZH,ZAHEDAN/INTL,,IR,1370,29.47,N,60.88,E
18,40875,OIKB,Bandarabbass ,Africa,OIKB,BANDAR ABBAS INTL,,IR,10,27.22,N,56.37,E
19,40437,OERK,King Khaled Intl Arpt ,Africa,OERK,RIYADH/KING KHALID,,SD,612,24.93,N,46.72,E
20,40650,ORBB,Baghdad ,Africa,ORBB,BAGDAD/SIRSENK,,IQ,34,33.23,N,44.23,E
21,40706,OITT,Tabriz ,Africa,OITT,TABRIZ(IRAN-AB/CIV,,IR,1361,38.08,N,46.28,E
22,40754,OIII,Tehran-Mehrabad ,Africa,OIII,TEHRAN/MEHRABAD AF,,IR,1191,35.68,N,51.35,E
