,WMO,FAA,Station_Name,Continent,ICAO,RAOB STATION NAME,ST,CO,EL,  LAT,N, LONG,E
0,29839,,"Barnaul, IR",SEA,,BARNAUL,NO,RU,159,53.21,N,83.49,E
1,29862,,"Hakasskaja, NO",SEA,,HAKASSKATA,NO,RU,256,53.77,N,91.32,E
2,30635,,"Ust-Barguzin, IR",SEA,,UST-BARGUZIN,IR,RU,457,54.42,N,109.02,E
3,30715,,"Angarsk, IR",SEA,,ANGARSK,IR,RU,450,52.48,N,103.85,E
4,30758,UIAA,"Chita, IR ",SEA,UIAA,CITA/KADALA,IR,RU,685,52.02,N,113.33,E
5,30935,,"Krasnyj Chikoj, IR",SEA,,KRASNYJ CIKOJ,IR,RU,770,50.37,N,108.75,E
6,30965,,"Borzja, IR",SEA,,BORZJA,IR,RU,684,50.38,N,116.52,E
7,31538,,Sutur,SEA,,SUTUR,HA,RU,349,50.07,N,132.13,E
8,31736,,"Habarovsk, HA",SEA,,HABAROVSK,HA,RU,72,48.53,N,135.23,E
9,31873,,"Dalnerechensk, HA",SEA,,DAL'NERECENSK,HA,RU,107,45.87,N,133.73,E
10,31977,,"Vladivostok (Sad Gorod), HA",SEA,,SAD-GOROD,HB,RU,82,43.27,N,132.05,E
11,32150,UHSS,"Juzhno-Sahalinsk, HA ",SEA,UHSS,JUZNO-SAHALINSK,HA,RU,31,46.92,N,142.73,E
12,35394,,"Karaganda, AL",SEA,,KARAGANDA,AL,RU,555,49.8,N,73.13,E
13,35671,,"Zhezkazgan, AL",SEA,,DZEZKAZGAN,AL,RU,345,47.8,N,67.72,E
14,36003,,"Pavlodar, AL",SEA,,PAVLODAR,AL,RU,123,52.28,N,76.95,E
15,36096,,"Kyzyl, NO",SEA,,KYZYL,NO,RU,629,51.7,N,94.45,E
16,36872,,"Almaty, AL",SEA,,ALMATY,AL,RU,662,43.35,N,77.0,E
17,38064,,Kyzylorda,SEA,,KYSYLORDA,AL,RU,133,44.77,N,65.52,E
18,38341,,"Zhambyl, AL",SEA,,DZAMBUL,AL,RU,653,42.85,N,71.38,E
19,40809,OIMB,Birjand ,SEA,OIMB,BIRJAND,,IR,1491,32.87,N,59.2,E
20,41923,VGTJ,Dhaka ,SEA,,COMILLA,,BD,9,23.43,N,91.18,E
21,42027,,Srinagar,SEA,,SRINAGAR,,IN,1587,34.08,N,74.83,E
22,42182,VIDD,New Delhi/Safdarjung ,SEA,VIDD,DELHI/SAFDARJUNG,,IN,216,28.58,N,77.2,E
23,42339,VIJO,Jodhpur ,SEA,VIJO,JODHPUR (IN-AFB),,IN,224,26.3,N,73.02,E
24,42361,VIGR,Gwalior ,SEA,VIGR,GWALIOR (IN-AFB),,IN,207,26.23,N,78.25,E
25,42369,VILK,Lucknow/Amausi ,SEA,VILK,LUCKNOW/AMAUSI,,IN,128,26.75,N,80.88,E
26,42379,VEGK,Gorakhpur ,SEA,VEGK,GORAKHPUR (IN-AFB),,IN,77,26.75,N,83.37,E
27,42647,VAAH,Ahmadabad ,SEA,VAAH,AHMADABAD,,IN,55,23.07,N,72.63,E
28,42667,VABP,Bhopal/Bairagarh ,SEA,VABP,BHOPAL/BAIRAGARH,,IN,523,23.28,N,77.35,E
29,42809,VECC,Calcutta/Dum Dum ,SEA,VECC,CALCUTTA/DUM DUM,,IN,6,22.65,N,88.45,E
30,42867,VANP,Nagpur Sonegaon ,SEA,VANP,NAGPUR SONEGAON AF,,IN,310,21.1,N,79.05,E
31,42886,VEJH,Jharsuguda ,SEA,,JHARSUGUDA,,IN,230,21.91,N,84.08,E
32,42971,VEBS,Bhubaneswar ,SEA,VEBS,BHUBANESWAR,,IN,46,20.25,N,85.83,E
33,43041,,Jagdalpur,SEA,,JAGDALPUR,,IN,553,19.08,N,82.03,E
34,43063,,Poona,SEA,,POONA,,IN,559,18.53,N,73.85,E
35,43128,VOHY,Hyderabad Airport ,SEA,VOHY,HYDERABAD (CIV/MIL,,IN,545,17.45,N,78.47,E
36,43185,,Mapatnam,SEA,,MACHILIPATNAM,,IN,3,16.2,N,81.15,E
37,43279,VOMM,Madras/Minambakkam ,SEA,VOMM,MADRAS/MINAMBAKKAM,,IN,16,13.0,N,80.18,E
38,43333,VEPB,Port Blair ,SEA,VEPB,PORT BLAIR,,IN,79,11.67,N,92.72,E
39,43346,,Karaikal,SEA,,KARAIKAL,,IN,7,10.92,N,79.83,E
40,43353,VOCC,Cochin/Willingdon ,SEA,VOCC,COCHIN (IN-NAVY),,IN,3,9.95,N,76.27,E
41,44212,,Ulaan-Gom,SEA,,ULAN-GOM,,MO,936,49.97,N,92.08,E
42,44292,,Ulaan-Baator,SEA,,ULAN-BATOR,,MO,1313,47.93,N,106.98,E
43,44373,,Dalanzadgad,SEA,,DALANZADGAD,,MO,1470,43.58,N,104.42,E
44,45004,,Kings Park,SEA,,KING'S PARK,,HK,66,22.32,N,114.17,E
45,47102,,Baengnyeongdo,SEA,,BAENGNYEONGDO,,KO,158,37.58,N,124.38,E
46,47104,,Bukgangneung,SEA,,BUKGANGNEUNG,,KO,79,37.83,N,128.86,E
47,47122,RKSO,Osan Ab ,SEA,RKSO,OSAN (US/KOR-AFB),,KO,12,37.1,N,127.03,E
48,47138,,Pohang,SEA,,POHANG,,KO,6,36.03,N,129.38,E
49,47158,RKJJ,Kwangju Ab ,SEA,RKJJ,KWANGJU (KOR-AFB),,KO,13,35.12,N,126.82,E
50,47169,,Heuksando,SEA,,HEUKSANDO,,KO,15,34.7,N,125.4,E
51,47186,,National Typhoon Centre,SEA,,NAT TYPHOON CENTER,,KO,246,33.33,N,126.68,E
52,47401,,Wakkanai,SEA,,WAKKANAI,,JP,11,45.42,N,141.68,E
53,47412,,Sapporo,SEA,,SAPPORO,,JP,19,43.05,N,141.33,E
54,47582,,Akita,SEA,,AKITA,,JP,21,39.72,N,140.1,E
55,47646,,Tateno,SEA,,TATENO,,JP,31,36.05,N,140.13,E
56,47678,,Hachijyojima/Omure,SEA,,HACHIJOJIMA/OMURE,,JP,80,33.12,N,139.78,E
57,47807,,Fukuoka,SEA,,FUKUOKA,,JP,14,33.58,N,130.38,E
58,47827,,Kagoshima,SEA,,KAGOSHIMA/YOSHINO,,JP,31,31.63,N,130.58,E
59,47909,,Naze/Funchatoge,SEA,,NAZE/FUNCHATOGE,,JP,7,28.38,N,129.55,E
60,47918,ROIG,Ishigakijima ,SEA,ROIG,ISHIGAKIJIMA ISLAN,,JP,7,24.33,N,124.17,E
61,47945,ROMD,Minamidaitojima ,SEA,ROMD,MINAMIDAITOJIMA IS,,JP,15,25.83,N,131.23,E
62,48601,WMKP,Penang/Bayan Lepas ,SEA,WMKP,PENANG/BAYAN LEPAS,,MS,4,5.3,N,100.27,E
63,48650,,Sepang,SEA,,SEPANG (KUALA LUMP,,KL,16,2.73,N,101.7,E
64,48698,WSSS,Singapore ,SEA,WSSS,SINGAPORE/CHANGI,,SR,16,1.37,N,103.98,E
65,48820,VVNB,Ha Noi ,SEA,VVNB,HANOI/NOIBAI INTL,,VS,6,21.02,N,105.8,E
66,48855,VVDN,Da Nang ,SEA,VVDN,DA NANG INTL ARPT,,VS,7,16.03,N,108.18,E
67,48900,VVTS,Ho Chi Minh ,SEA,VVTS,HO CHI MINH/TANSON,,VS,19,10.82,N,106.67,E
68,96035,WIMM,Medan/Polonia ,SEA,WIMM,MEDAN/POLONIA (MIL,,ID,25,3.57,N,98.68,E
69,96147,WION,Ranai ,SEA,WION,RANAI (MIL/CIV),,ID,2,3.95,N,108.38,E
70,96163,WIMG,Padang/Tabing ,SEA,WIMG,PADANG/TABING,,ID,3,0.88,S,100.35,E
71,96237,WIKK,Pangkal Pinang ,SEA,WIKK,PANGKAL-PINANG,,ID,33,2.17,S,106.13,E
72,96253,WIPL,Bengkulu/Padang Kemiling ,SEA,WIPL,BENGKULA/PADANG,,ID,16,3.88,S,102.33,E
73,96413,WBGG,Kuching ,SEA,WBGG,KUCHING (CIV/MIL),,MS,27,1.48,N,110.33,E
74,96509,WRLR,Tarakan/Juwata ,SEA,WRLR,TARAKAN/JUWATA,,ID,6,3.33,N,117.57,E
75,96581,WIOO,Pontianak/Supadio ,SEA,WIOO,PONTIANAK,,ID,3,0.15,S,109.4,E
76,96685,WRBB,Banjarmasin/Syamsudin ,SEA,WRBB,BANJARMASIN NOOR,,ID,20,3.43,S,114.75,E
77,96749,WIII,Jakarta/Soekarno-Hatta ,SEA,WIII,SOEKARNO-HATTA INT,,ID,8,6.12,S,106.65,E
78,96935,WRSJ,Surabaya/Juanda ,SEA,WRSJ,SURABAYA/JUANDA MI,,ID,3,7.37,S,112.77,E
79,97014,WAMM,Menado/ Sam Ratulangi ,SEA,WAMM,MENADO/SAM RATULAN,,ID,80,1.53,N,124.92,E
80,97072,WAML,Palu/Mutiara ,SEA,WAML,PALU/MUTIARA,,ID,6,0.68,S,119.73,E
81,97372,WRKK,Kupang/Eltari ,SEA,WRKK,KUPANG/EL TARI,,ID,108,10.17,S,123.67,E
82,98223,RPLI,Laoag ,SEA,RPLI,LAOAG INTL(PH-ARMY,,PH,5,18.18,N,120.53,E
83,98328,RPUB,Baguio ,SEA,RPUB,BAGUIO,,PH,1501,16.42,N,120.6,E
84,98433,,Tanay,SEA,,TANAY,,PH,614,14.57,N,121.37,E
85,98618,RPVP,Puerto Princesa ,SEA,,PUERTO PRINCESA,,PH,15,9.75,N,118.73,E
86,98646,RPMT,Mactan ,SEA,RPMT,MACTAN INTL(CIV/AF,,PH,24,10.3,N,123.97,E
87,98753,RPMD,Davao Airport ,SEA,,DAVAO AIRPORT,,PH,18,7.12,N,125.65,E
