,WMO,FAA,Station_Name,Continent,ICAO,RAOB STATION NAME,ST,CO,EL,  LAT,N, LONG,E
0,78807,MPCZ,Corozal ,South_America,MPCZ,HOWARD AFB,,PN,19,8.98,N,79.58,W
1,78954,TBPB,Grantley Adams ,South_America,TBPB,GRANTLY ADAMS,,BA,56,13.07,N,59.48,W
2,78970,TTPP,Piarco Int. Airport ,South_America,TTPP,PIARCO,,TR,15,10.62,N,61.35,W
3,78988,TNCC,"Hato Airport, Curacao ",South_America,TNCC,CURACAO HATO,,AC,67,12.2,N,68.97,W
4,80001,SKSP,San Andres Isl ,South_America,SKSP,SAN ANDRES ISLAND,,CO,1,12.58,N,81.72,W
5,80028,SKBQ,Ernesto Cortissoz ,South_America,SKBQ,BARRANQUILLA/ERNES,,CO,30,10.88,N,74.78,W
6,80094,SKBG,Palonegro ,South_America,SKBG,BUCARAMANGA/PALONE,,CO,1189,7.1,N,73.2,W
7,80222,SKBO,Bogota/Eldorado ,South_America,SKBO,BOGOTA/ELDORADO,,CO,2548,4.7,N,74.13,W
8,80259,SKCL,Alfonso Bonilla Aragon ,South_America,SKCL,CALI/ALFONSO BONIL,ON,CO,969,3.55,N,76.38,W
9,80398,SKLT,Leticia/Vasquez Cobo ,South_America,SKLT,LETICIA/VASQUEZ CO,,CO,84,4.17,S,69.95,W
10,82022,SBBV,Boa Vista ,South_America,SBBV,BOA VISTA/AIRPORT,,BZ,140,2.83,N,60.7,W
11,82099,SBMQ,Macapa ,South_America,,MACAPA AIRPORT,,BZ,17,3.05,N,51.07,W
12,82026,,Tirios,South_America,,TIRIOS,,BZ,326,2.48,N,55.98,W
13,82107,,"Sao Gabriel Da Cachoeira,",South_America,,SAO GABRIEL DA CAC,,BZ,79,0.12,S,66.97,W
14,82193,SBBE,Belem (Aeroporto) ,South_America,SBBE,BELEM/VAL DE CAES,,BZ,16,1.38,S,48.48,W
15,82244,,"Santarem,",South_America,SBSN,SANTAREM/INTL,,BZ,72,2.43,S,54.72,W
16,82332,SBMN,Manaus (Aeroporto) ,South_America,SBMN,MANAUS/PONTA PELAD,,BZ,84,3.15,S,59.98,W
17,82400,SBFN,Fernando De Noronha ,South_America,SBFN,FERNANDO DE NORONH,,BZ,56,3.85,S,32.42,W
18,82411,,"Tabatinga,",South_America,SBTT,TABATINGA/INTL,,BZ,85,3.67,S,69.67,W
19,82532,,Manicore,South_America,,MANICORE (AERO),,BZ,53,5.82,S,61.28,W
20,82599,SBNT,Natal Aeroporto ,South_America,SBNT,NATAL/AUGUSTO SEVE,,BZ,52,5.92,S,35.25,W
21,82705,,Cruzerio Do Sul,South_America,,CRUZEIRO DO SUL (A,,BZ,199,7.58,S,72.76,W
22,82824,SBPV,Porto Velho (Aeroporto) ,South_America,SBPV,PORTO VELHO (CV/MI,,BZ,88,8.77,S,63.92,W
23,82917,,Rio Branco,South_America,SBRB,RIO BRANCO/MEDICI,,BZ,143,10.0,S,67.8,W
24,82965,SBAT,Alta Floresta (Aero) ,South_America,SBAT,ALTA FLORESTA,,BZ,288,9.87,S,56.1,W
25,83208,SBVH,Vilhena (Aeroporto) ,South_America,SBVH,VILHENA,,BZ,652,12.73,S,60.13,W
26,83378,SBBR,Brasilia (Aeroporto) ,South_America,SBBR,BRASILIA (CIV/MIL),,BZ,1061,15.87,S,47.93,W
27,83525,SBUL,Uberlandia ,South_America,SBUL,UBERLANDIA,,BZ,943,18.88,S,48.23,W
28,83554,,Corumba,South_America,SBCR,CORUMBA,,BZ,142,19.0,S,57.67,W
29,83566,,Confis Intnl Arpt,South_America,,CONFIS INTNL ARPT,,BZ,827,19.62,S,43.57,W
30,83612,SBCG,Campo Grande (Aero) ,South_America,SBCG,CAMPO GRANDE INTL,,BZ,556,20.47,S,54.67,W
31,83649,,Vitoria,South_America,SBVT,VITORIA/GOIABEIRAS,,BZ,4,20.27,S,40.28,W
32,83746,SBGL,Galeao ,South_America,SBGL,GALEAO/RIO(CIV/MIL,,BZ,6,22.82,S,43.25,W
33,83768,SBLO,Londrina ,South_America,SBLO,LONDRINA AIRPORT,,BZ,570,23.33,S,51.13,W
34,83779,SBMT,Marte Civ/Mil ,South_America,,MARTE APRT,,BZ,722,23.5,S,46.6,W
35,83827,SBFI,Foz Do Iguacu (Aero) ,South_America,SBFI,FOZ DO IGUACU ARPT,,BZ,243,25.52,S,54.58,W
36,83840,SBCT,Curitiba (Aeroporto) ,South_America,SBCT,CURITIBA/AFONSO PE,,BZ,908,25.52,S,49.17,W
37,83899,SBFL,Florianopolis ,South_America,SBFL,FLORIANOPOLIS ARPT,,BZ,5,27.67,S,48.55,W
38,83928,SBUG,Uruguaniana ,South_America,SBUG,URUGUAIANA/RUBEM,,BZ,74,29.78,S,57.03,W
39,83937,SBSM,Santa Maria ,South_America,SBSM,SANTA MARIA/AIRPOR,,BZ,85,29.72,S,53.7,W
40,83971,SBPA,Porto Alegre (Aero) ,South_America,SBPA,PORTO ALEGRE/SALGA,,BZ,3,30.0,S,51.18,W
