,WMO,FAA,Station_Name,Continent,ICAO,RAOB STATION NAME,ST,CO,EL,  LAT,N, LONG,E
0,45004,,Kings Park,South_Pacific,,KING'S PARK,,HK,66,22.32,N,114.17,E
1,47909,,Naze/Funchatoge,South_Pacific,,NAZE/FUNCHATOGE,,JP,7,28.38,N,129.55,E
2,47918,ROIG,Ishigakijima ,South_Pacific,ROIG,ISHIGAKIJIMA ISLAN,,JP,7,24.33,N,124.17,E
3,47945,ROMD,Minamidaitojima ,South_Pacific,ROMD,MINAMIDAITOJIMA IS,,JP,15,25.83,N,131.23,E
4,47971,RJAO,Chichijima ,South_Pacific,RJAO,CHICHIJIMA ISLAND,,JP,8,27.08,N,142.18,E
5,47991,RJAM,Minamitorishima ,South_Pacific,RJAM,MINAMITORISHIMA,,JP,9,24.3,N,153.97,E
6,48839,,Bach Longvi,South_Pacific,,BACH LONGVI,,VS,60,20.13,N,107.72,E
7,48855,VVDN,Da Nang ,South_Pacific,VVDN,DA NANG INTL ARPT,,VS,7,16.03,N,108.18,E
8,48900,VVTS,Ho Chi Minh ,South_Pacific,VVTS,HO CHI MINH/TANSON,,VS,19,10.82,N,106.67,E
9,91165,PHLI,"Lihue, HI ",South_Pacific,PLIH,LIHUE-ON-KAUAI,HI,US,45,21.98,N,159.35,W
10,91212,PGUM,Guam Intl Arpt ,South_Pacific,PGUM,AGANA (NWS),,MY,91,13.48,N,144.8,E
11,91285,PHTO,"Hilo/Gen, HI ",South_Pacific,PHTO,HILO/LYMAN,HI,US,11,19.72,N,155.07,W
12,91334,PTKK,Chuuk Lagoon ,South_Pacific,PTKK,CHUUK/EAST CAROLIN,,KA,3,7.45,N,151.83,E
13,91348,PTPN,Pohnpei ,South_Pacific,PTPN,PONAPE/EAST CAROLI,,KA,39,6.97,N,158.22,E
14,91376,PKMJ,Majuro/Marshall Is ,South_Pacific,PKMJ,MARSHALL ISLANDS,,MM,3,7.08,N,171.38,E
15,91408,PTRO,Babeldaob ,South_Pacific,PTRO,PALAU/WEST CAROLIN,,KA,33,7.33,N,134.48,E
16,91413,PTYA,Yap ,South_Pacific,PTYA,LUWEECH/WEST CAROL,,KA,17,9.48,N,138.08,E
17,91610,NGTA,Tarawa ,South_Pacific,NGTA,TARAWA/BONRIKI INT,,KB,4,1.35,N,172.92,E
18,91643,NGFU,Funafuti ,South_Pacific,NGFU,FUNAFUTI INTL ARPT,,TV,2,8.52,S,179.22,E
19,91680,NFFN,Nadi Airport ,South_Pacific,NFFN,NANDI/NADI INTL,,FJ,18,17.75,S,177.45,E
20,91765,NSTU,Pago Pago/Int.Airp. ,South_Pacific,NSTU,PAGO PAGO,,ZM,3,14.33,S,170.72,W
21,94120,YPDN,"Darwin Airport, NT ",South_Pacific,YPDN,DARWIN (CIV/MIL),NT,AU,30,12.4,S,130.87,E
22,94203,YBRM,"Broome Amo, WE ",South_Pacific,YBRM,BROOME AIRPORT,WE,AU,9,17.95,S,122.22,E
23,94299,,"Willis Island, QU",South_Pacific,,WILLIS ISLAND,QU,AU,9,16.3,S,149.98,E
24,94302,YPLM,"Learmonth Airport, WE ",South_Pacific,YPLM,LEARMONTH,WE,AU,6,22.23,S,114.08,E
25,94326,YBAS,"Alice Springs Aero, NT ",South_Pacific,YBAS,ALICE SPRINGS ARPT,NT,AU,541,23.8,S,133.9,E
26,94332,YBMA,"Mount Isa Amo, QU ",South_Pacific,YBMA,MOUNT ISA AIRPORT,QU,AU,344,20.67,S,139.48,E
27,94403,YPGN,"Geraldton Amo, WE ",South_Pacific,YPGN,GERALDTON AIRPORT,WE,AU,34,28.78,S,114.7,E
28,94430,YPMR,"Meekatharra Amo, WE ",South_Pacific,YPMR,MEEKATHARRA AIRPOR,WE,AU,518,26.6,S,118.53,E
29,94461,,"Giles, WE",South_Pacific,YGLS,GILES MET STATION,WE,AU,599,25.03,S,128.28,E
30,94510,YBCV,"Charleville Amo, QU ",South_Pacific,YBCV,CHARLEVILLE ARPT,QU,AU,304,26.4,S,146.27,E
31,94578,YBBN,"Brisbane Airport Aero, QU ",South_Pacific,YBBN,BRISBANE INTL ARPT,QU,AU,5,27.38,S,153.1,E
32,94610,YPPH,"Perth Airport, WE ",South_Pacific,YPPH,PERTH INTL/BELMONT,WE,AU,29,31.93,S,115.95,E
33,94637,YPKG,"Kalgoorlie-Boulder Amo, WE ",South_Pacific,YPKG,KALGOORLIE/BOULDER,WE,AU,360,30.77,S,121.45,E
34,94638,,"Esperance Mo, WE",South_Pacific,YESP,ESPERANCE,WE,AU,26,33.82,S,121.88,E
35,94659,YPWR,"Woomera Aerodrome Mo, SA ",South_Pacific,YPWR,WOOMERA (AUS-AFB),SA,AU,167,31.13,S,136.82,E
36,94672,YPAD,"Adelaide Airport, SA ",South_Pacific,YPAD,ADELAIDE INTL ARPT,SA,AU,4,34.93,S,138.52,E
37,94711,,"Cobar Mo, NW",South_Pacific,YCBA,COBAR,NW,AU,265,31.48,S,145.82,E
38,94776,YSWM,"Williamtown Amo Raaf, NW ",South_Pacific,YSWM,WILLIAMTOWN(AUS-AB,NW,AU,8,32.78,S,151.82,E
39,94821,YMMG,"Mount Gambier Aero, SA ",South_Pacific,YMMG,MOUNT GAMBIER ARPT,SA,AU,69,37.73,S,140.78,E
40,94866,YMML,"Melbourne Airport, VC ",South_Pacific,YMML,MELBOURNE INTL ARP,VC,AU,141,37.67,S,144.83,E
41,94975,YMHB,"Hobart Airport, TA ",South_Pacific,YMHB,HOBART AIRPORT,TA,AU,27,42.83,S,147.48,E
42,94995,,Lord Howe Island,South_Pacific,YLHI,LORD HOWE ISLAND,NW,AU,6,31.53,S,159.07,E
43,94996,YSNF,Norfolk Island Aero ,South_Pacific,YSNF,NORFOLK ISLAND ARP,,AU,109,29.03,S,167.93,E
