WMO,ICAO,RAOB STATION NAME,ST,CO,EL,  LAT,N, LONG,E
1001,ENJA,JAN MAYEN,,NO,9,70.93,N,8.67,W
1004,ENAS,NY-ALESUND II,,NO,8,78.92,N,11.93,E
1007,----,NY-ALESUND,,NO,18,78.92,N,11.93,E
1008,ENSB,SVALBARD/LONGYE,,NO,29,78.25,N,15.47,E
1010,ENAN,ANDOYA,,NO,14,69.3,N,16.15,E
1011,----,KVITOYA,,NO,16,80.1,N,31.4,E
1025,ENTC,TROMSOE,,NO,10,69.68,N,18.92,E
1028,ENBJ,BJORNOYA ISLAND,,NO,14,74.52,N,19.02,E
1088,ENVD,VADSO,,NO,39,70.07,N,29.85,E
1152,ENBO,BODO VI (CIV/MIL),,NO,13,67.25,N,14.37,E
1240,----,HALTEN,,NO,16,64.17,N,9.42,E
1241,ENOL,ORLAND III (NOR-AF,,NO,7,63.7,N,9.6,E
1384,ENGM,OSLO/GARDERMOEN,,NO,204,60.2,N,11.08,E
1400,ENEK,EKOFISK,,NO,46,56.53,N,3.22,E
1415,ENZV,STAVANGER/SOLA (AF,,NO,9,58.88,N,5.63,E
1465,----,TORUNGEN,,NO,15,58.4,N,8.8,E
1492,----,OSLO/BLINDERN,,NO,96,59.57,N,10.43,E
2120,----,KVIKKJOKK,,SW,337,66.95,N,17.75,E
2185,ESPA,LULEA/KALLAX (AFB),,SW,34,65.55,N,22.13,E
2188,----,RODKALLEN,,SW,1,65.32,N,22.38,E
2225,----,OSTERSUND/FROSON,,SW,370,63.18,N,14.5,E
2365,ESNN,SUNDSVALL/HARNOSAN,,SW,6,62.53,N,17.47,E
2527,ESGG,GOTEBORG/LANDVETTE,,SW,164,57.67,N,12.5,E
2591,ESQV,VISBY AERO STATION,,SW,47,57.65,N,18.35,E
2836,EFSO,SODANKYLA,,FI,179,67.37,N,26.65,E
2935,EFJY,JYVASKYLA (MIL/CIV,,FI,145,62.4,N,25.68,E
2963,----,JOKIOINEN,,FI,103,60.82,N,23.5,E
2982,----,RUSSARO,,FI,11,59.77,N,22.95,E
3001,----,MUCKLE FLUGGA (LH),,UK,53,60.85,N,0.88,W
3005,----,LERWICK/SHETLAND I,,UK,84,60.13,N,1.18,W
3008,----,FAIR ISLE,,UK,59,59.53,N,1.63,W
3023,----,WEST GEIRINISH,,UK,3,57.35,N,7.37,W
3026,EGPO,STORNOWAY,,UK,13,58.22,N,6.32,W
3066,EGQK,KINLOSS RAF,,UK,7,57.65,N,3.57,W
3085,----,INCHMARLO,,UK,80,57.07,N,2.53,W
3091,EGPD,ABERDEEN/DYCE,,UK,65,57.2,N,2.22,W
3121,----,KILDONAN,,UK,18,55.43,N,5.1,W
