,WMO,FAA,Station Name,Continent,ICAO,RAOB STATION NAME,ST,CO,EL,  LAT,N, LONG,E
0,1241,ENOL,Orland ,Europe,ENOL,ORLAND III (NOR-AF,,NO,7,63.7,N,9.6,E
1,1400,,Ekofisk,Europe,ENEK,EKOFISK,,NO,46,56.53,N,3.22,E
2,3005,,Lerwick,Europe,,LERWICK/SHETLAND I,,UK,84,60.13,N,1.18,W
3,3808,,Camborne,Europe,,CAMBORNE,,UK,88,50.22,N,5.32,W
4,10035,,Schleswig,Europe,,SCHLESWIG,,DL,48,54.53,N,9.55,E
5,10113,,Norderney,Europe,,NORDERNEY,,DL,11,53.71,N,7.15,E
6,10184,,Greifswald,Europe,,GREIFSWALD,,DL,6,54.1,N,13.4,E
7,10393,,Lindenberg,Europe,,LINDENBERG,,DL,112,52.22,N,14.12,E
8,10410,EDZE,Essen ,Europe,EDZE,ESSEN/MULHEIM,,DL,161,51.4,N,6.97,E
9,10548,,Meiningen,Europe,,MEININGEN,,DL,453,50.57,N,10.37,E
10,10739,,Stuttgart/Schnarrenberg,Europe,,STUTTGART/SCHNARRE,,DL,311,48.83,N,9.2,E
11,10868,,Muenchen-Oberschlssheim,Europe,,MUNICH/OBERSCHLEIS,,DL,489,48.25,N,11.58,E
12,11520,,Praha-Libus,Europe,,PRAGUE/LIBUS,,CZ,304,50.0,N,14.45,E
13,11747,,Prostejov,Europe,,PROSTEJOV,,CZ,216,49.45,N,17.13,E
14,11952,,Poprad-Ganovce,Europe,,POPRAD/GANOVCE,,LO,706,49.03,N,20.32,E
15,12120,,Leba,Europe,,LEBA,,PL,2,54.75,N,17.53,E
16,12374,,Legionowo,Europe,,LEGIONOWO,,PL,96,52.4,N,20.97,E
17,12425,,Wroclaw I,Europe,,WROCLAW/MALY GADOW,,PL,116,51.13,N,16.98,E
18,12843,,Budapest/Lorinc,Europe,,BUDAPEST/LORINC,,HU,139,47.43,N,19.18,E
19,12982,LHUD,Szeged ,Europe,LHUD,SZEGED (AUT),,HU,83,46.25,N,20.1,E
20,13275,,Beograd/Kosutnjak,Europe,,BEOGRAD KOSUTNJAK,,YG,203,44.77,N,20.42,E
21,13388,LYNI,Nis ,Europe,LYBM,NIS,,YG,203,43.33,N,21.9,E
22,14240,LDDD,Zagreb/Maksimir ,Europe,LDDD,ZAGREB/MAKSIMIR,,RH,123,45.82,N,16.03,E
23,15420,LRBS,Bucuresti Inmh-Banesa ,Europe,LRBS,BUCHAREST/BANEASA,,RO,91,44.48,N,26.18,E
24,15614,LBSF,Sofia (Observ) ,Europe,LBSF,SOFIA (OBSERVATORY,,BU,595,42.65,N,23.38,E
25,16045,LIPI,Rivolto ,Europe,LIPI,RIVOLTO AFB,,IY,53,45.98,N,13.03,E
26,16144,,S Pietro Capofiume,Europe,,S. PIETRO CAPOFIUM,,IY,38,44.65,N,11.62,E
27,16245,LIRE,Pratica Di Mare ,Europe,LIRE,PRATICA DI MARE(AB,,IY,12,41.65,N,12.43,E
28,16429,LICT,Trapani/Birgi ,Europe,LICT,TRAPANI/BIRGI (AFB,,IY,7,37.92,N,12.5,E
29,16546,LIED,Decimomannu ,Europe,LIED,DECIMOMANNU,,IY,30,39.35,N,8.97,E
30,16716,LGAT,Athinai (Airport) ,Europe,LGAT,ATHENS/HELLENKION,,GR,15,37.9,N,23.73,E
31,17030,,Samsun,Europe,,SAMSUN CITY,,TU,4,41.28,N,36.33,E
32,17064,,Istanbul/Kartal,Europe,,ISTANBUL/KARTAL,,TU,18,40.9,N,29.15,E
33,17196,LTAU,Kayseri ,Europe,LTAM,KAISERI CITY,,TU,1043,38.72,N,35.5,E
34,17220,,Izmir/Guzelyali,Europe,,IZMIR,,TU,29,38.43,N,27.17,E
35,17240,LTBM,Isparta ,Europe,LTBM,ISPARTA,,TU,997,37.75,N,30.55,E
36,17351,,Adana/Bolge,Europe,,ADANA/BOLGE,,TU,28,36.98,N,35.35,E
37,22820,,"Petrozavodsk, LE",Europe,,PETROZAVODSK,LE,RS,112,61.82,N,34.27,E
38,22845,,"Kargopol, AR",Europe,,KARGOPOL',AR,RS,121,61.5,N,38.93,E
39,26075,ULLI,"St.Petersburg(Voejkovo), St.Petersburg(Voejkovo), LE ",Europe,,ST. PETERSBURG,LE,RS,72,59.95,N,30.7,E
40,26298,,"Bologoe, LE",Europe,,BOLOGOE,LE,RS,178,57.9,N,34.05,E
41,26477,ULOL,"Velikie Luki, LE ",Europe,ULOL,VELIKIE LUKI,LE,RS,98,56.38,N,30.6,E
42,26781,,"Smolensk, MI",Europe,,SMOLENSK,MI,RS,241,54.75,N,32.07,E
43,27038,ULWW,"Vologda, AR ",Europe,,VOLOGDA,AR,RS,130,59.32,N,39.93,E
44,27199,,"Kirov, MS",Europe,,KIROV,MS,RS,158,58.6,N,49.63,E
45,27459,,"Niznij Novgorod, MS",Europe,,NIZNIJ NOVGOROD,MS,RS,157,56.27,N,44.0,E
46,27594,,"Kazan (Vyzaovye), MS",Europe,,KAZAN',,RS,127,55.82,N,48.52,E
47,27713,,"Moskva (Dolgoprudnyj), MS",Europe,UUDD,MOSCOW POLGOPRUDNY,MS,RS,179,55.4,N,37.9,E
48,27707,,"Suhinici, MS",Europe,,SUHINICI,MS,RS,239,54.12,N,35.33,E
49,27730,,"Rjazan, MS",Europe,,RJAZAN',MS,RS,158,54.63,N,39.7,E
50,27962,UWPP,"Penza, MS ",Europe,UWPP,PENZA,MS,RS,174,53.13,N,45.02,E
51,27995,,"Samara (Bezencuk), MS",Europe,,BEZENCUKSKAJA,MS,RS,45,52.98,N,49.43,E
52,34009,,"Kursk, MS",Europe,,KURSK,MS,RS,247,51.77,N,36.17,E
53,34122,UUOO,"Voronez, MS ",Europe,UUOO,VORONEZ,MS,RS,154,51.7,N,39.17,E
54,34172,,"Saratov, MS",Europe,UWSS,SARATOV,MS,RS,156,51.57,N,46.03,E
55,34247,,"Kalac, MS",Europe,,KALAC,MS,RS,93,50.42,N,41.05,E
56,34467,URWW,"Volgograd, TB ",Europe,,VOLOGRAD,TB,RS,141,48.78,N,44.33,E
57,34731,URRR,"Rostov-Na-Donu, TB ",Europe,URRR,ROSTOV-NA-DONU,TB,RS,77,47.25,N,39.82,E
58,37011,,"Tuapse, TB",Europe,,TUAPSE,TB,RS,52,44.1,N,39.03,E
