,WMO,FAA,Station Name,Continent,ICAO,RAOB STATION NAME,ST,CO,EL,  LAT,N, LONG,E
0,12374,,Legionowo,Middle_East,,LEGIONOWO,,PL,96,52.4,N,20.97,E
1,13388,LYNI,Nis ,Middle_East,LYBM,NIS,,YG,203,43.33,N,21.9,E
2,15420,LRBS,Bucuresti Inmh-Banesa ,Middle_East,LRBS,BUCHAREST/BANEASA,,RO,91,44.48,N,26.18,E
3,15614,LBSF,Sofia (Observ) ,Middle_East,LBSF,SOFIA (OBSERVATORY,,BU,595,42.65,N,23.38,E
4,16716,LGAT,Athinai (Airport) ,Middle_East,LGAT,ATHENS/HELLENKION,,GR,15,37.9,N,23.73,E
5,17030,,Samsun,Middle_East,,SAMSUN CITY,,TU,4,41.28,N,36.33,E
6,17064,,Istanbul/Kartal,Middle_East,,ISTANBUL/KARTAL,,TU,18,40.9,N,29.15,E
7,17095,ERZM,Erzurum ,Middle_East,,ERZURUM BOLGE,,TU,1869,39.9,N,41.28,E
8,17196,LTAU,Kayseri ,Middle_East,LTAM,KAISERI CITY,,TU,1043,38.72,N,35.5,E
9,17220,,Izmir/Guzelyali,Middle_East,,IZMIR,,TU,29,38.43,N,27.17,E
10,17240,LTBM,Isparta ,Middle_East,LTBM,ISPARTA,,TU,997,37.75,N,30.55,E
11,17351,,Adana/Bolge,Middle_East,,ADANA/BOLGE,,TU,28,36.98,N,35.35,E
12,27962,UWPP,"Penza, MS ",Middle_East,UWPP,PENZA,MS,RS,174,53.13,N,45.02,E
13,27995,,"Samara (Bezencuk), MS",Middle_East,,BEZENCUKSKAJA,MS,RS,45,52.98,N,49.43,E
14,28951,,"Kostanai, AK",Middle_East,,KOSTANAI,AL,RA,171,53.23,N,63.62,E
15,34009,,"Kursk, MS",Middle_East,,KURSK,MS,RS,247,51.77,N,36.17,E
16,34122,UUOO,"Voronez, MS ",Middle_East,UUOO,VORONEZ,MS,RS,154,51.7,N,39.17,E
17,34172,,"Saratov, MS",Middle_East,UWSS,SARATOV,MS,RS,156,51.57,N,46.03,E
18,34247,,"Kalac, MS",Middle_East,,KALAC,MS,RS,93,50.42,N,41.05,E
19,34467,URWW,"Volgograd, TB ",Middle_East,,VOLOGRAD,TB,RS,141,48.78,N,44.33,E
20,34731,URRR,"Rostov-Na-Donu, TB ",Middle_East,URRR,ROSTOV-NA-DONU,TB,RS,77,47.25,N,39.82,E
21,34858,,"Divnoe, TB",Middle_East,,DIVNOE,TB,RS,77,46.92,N,45.35,E
22,34882,,"Astrakhan, TB",Middle_East,,ASTRAHAN',TB,RS,-17,46.28,N,47.98,E
23,35121,,"Orenburg, AL",Middle_East,UWOO,ORENBURG,AL,RA,109,51.78,N,55.22,E
24,35229,UATT,"Aktjubinsk, AL ",Middle_East,UATT,AKTJUBINSK,AL,RA,227,50.3,N,57.23,E
25,35700,,"Atyran, AL",Middle_East,,GUR'EV,AL,RA,-15,47.02,N,51.85,E
26,37011,,"Tuapse, TB",Middle_East,,TUAPSE,TB,RS,52,44.1,N,39.03,E
27,37259,,Mahachkala,Middle_East,,MAHACHKALA,TB,RS,19,43.02,N,47.48,E
28,40179,,Bet Dagan,Middle_East,,BET DAGAN,,IS,30,32.0,N,34.82,E
29,40373,OEPA,Al-Qaisumah ,Middle_East,OEPA,HAFR AL-BATIN ARPT,,SD,355,28.33,N,46.12,E
30,40394,OEHL,Hail ,Middle_East,OEHL,HAIL,,SD,1013,27.52,N,41.73,E
31,40417,OEDF,K.F.I.A.-Dammam ,Middle_East,OEDF,KING FAHAD INTERNA,,SD,12,26.45,N,49.82,E
32,40430,OEMA,Al-Madinah ,Middle_East,OEMA,MADINAH INTL ARPT,,SD,631,24.55,N,39.72,E
33,40437,OERK,King Khaled Intl Arpt ,Middle_East,OERK,RIYADH/KING KHALID,,SD,612,24.93,N,46.72,E
34,40706,OITT,Tabriz ,Middle_East,OITT,TABRIZ(IRAN-AB/CIV,,IR,1361,38.08,N,46.28,E
35,40754,OIII,Tehran-Mehrabad ,Middle_East,OIII,TEHRAN/MEHRABAD AF,,IR,1191,35.68,N,51.35,E
36,40809,OIMB,Birjand ,Middle_East,OIMB,BIRJAND,,IR,1491,32.87,N,59.2,E
37,40841,OIKK,Kerman ,Middle_East,OIKK,KERMAN,,IR,1754,30.25,N,56.97,E
38,41024,OEJN,Jeddah (King Abdul Aziz) ,Middle_East,OEJN,JEDDAH/ABDUL AZIZ,,SD,12,21.67,N,39.15,E
39,41112,OEAB,Abha ,Middle_East,OEAB,ABHA,,SD,2084,18.23,N,42.65,E
40,41217,OMAA,Abu Dhabi Inter Arpt ,Middle_East,OMAA,ABU DHABI INTL,,ER,27,24.43,N,54.65,E
