,WMO,FAA,Station_Name,Continent,ICAO,RAOB STATION NAME,ST,CO,EL,  LAT,N, LONG,E
0,4220,BGEM,Aasiaat (Egedesminde) ,North_America,BGEM,EGEDESMINDE/AUSIAT,,GL,41,68.7,N,52.85,W
1,4270,BGBW,Narsarsuaq ,North_America,BGBW,NARSARSSUAK,,GL,26,61.18,N,45.42,W
2,4360,BGAM,Tasiilaq (Ammassalik) ,North_America,BGAM,ANGMAGSSALIK,,GL,52,65.6,N,37.63,W
3,32618,,"Nikolskoe, HA",North_America,,NIKOLSKOE/BERINGA,HA,RU,6,55.2,N,165.98,E
4,70026,PABR,"Barrow/W. Post W.Rogers, AK ",North_America,PBRW,BARROW/POST-ROG,AK,US,3,71.3,N,156.78,W
5,70133,PAOT,"Kotzebue, Ralph Wien, AK ",North_America,POTZ,KOTZEBUE,AK,US,6,66.87,N,162.63,W
6,70200,PAOM,"Nome, AK ",North_America,POME,NOME,AK,US,6,64.5,N,165.43,W
7,70231,PAMC,"Mcgrath, AK ",North_America,PMCG,MCGRATH,AK,US,103,62.97,N,155.62,W
8,70261,PAFA,"Fairbanks/Int, AK ",North_America,PFAI,FAIRBANKS,AK,US,138,64.82,N,147.87,W
9,70273,PANC,"Anchorage/Int, AK ",North_America,PANC,ANCHORAGE INTL,AK,US,40,61.17,N,150.02,W
10,70308,PASN,"St. Paul, AK ",North_America,PSNP,SAINT PAUL IS.,AK,US,8,57.15,N,170.22,W
11,70316,PACD,"Cold Bay, AK ",North_America,PCDB,COLD BAY,AK,US,31,55.2,N,162.72,W
12,70326,PAKN,"King Salmon, AK ",North_America,PAKN,KING SALMON,AK,US,14,58.68,N,156.65,W
13,70350,PADQ,"Kodiak, AK ",North_America,PADQ,KODIAK,AK,US,33,57.73,N,152.52,W
14,70361,PAYA,"Yakutat, AK ",North_America,PYAK,YAKUTAT,AK,US,9,59.5,N,139.68,W
15,70398,PANT,"Annette Island, AK ",North_America,PANN,ANNETTE ISLAND,AK,US,33,55.03,N,131.57,W
16,70414,PASY,"Shemya Afb, AK ",North_America,PASY,SHEMYA AFB,AK,US,30,52.72,N,174.12,W
17,71043,YVQ,"Norman Wells Ua, NT ",North_America,CYVQ,NORMAN WELLS,NT,CA,73,65.28,N,126.8,W
18,71081,YUX,"Hall Beach, NT ",North_America,CYUX,HALL BEACH,NT,CA,8,68.78,N,81.25,W
19,71109,YZT,"Port Hardy, BC ",North_America,CYZT,PORT HARDY,BC,CA,22,50.68,N,127.37,W
20,71119,WSE,"Edmonton Stony Plain, AB ",North_America,CWSE,EDMONTON,AB,CA,766,53.55,N,114.1,W
21,71603,YQI,"Yarmouth, NS ",North_America,CWQI,YARMOUTH,NS,CA,41,43.83,N,66.08,W
22,71722,WMW,"Maniwaki, QB ",North_America,CWMW,MANIWAKI,QB,CA,170,46.38,N,75.97,W
23,71802,AYT,"Mt Pearl, NF ",North_America,CWDS,ST LAWRENCE,NF,CA,49,46.92,N,55.38,W
24,71811,YZV,"Sept-Iles, QB ",North_America,CYZV,SEPT-ILES,QB,CA,55,50.22,N,66.27,W
25,71815,YJT,"Stephenville, NF ",North_America,CYJT,STEPHENVILLE,NF,CA,26,48.53,N,58.55,W
26,71816,YYR,"Goose Bay, NF ",North_America,CYYR,GOOSE BAY,NF,CA,44,53.3,N,60.37,W
27,71823,YAH,"La Grande Iv, QB ",North_America,CZAG,LA GRANDE,QB,CA,313,53.75,N,73.67,W
28,71845,WPL,"Pickle Lake, ON ",North_America,CYPL,PICKLE LAKE,ON,CA,373,51.47,N,90.2,W
29,71867,YQD,"The Pas, MB ",North_America,CYQD,THE PAS,MN,CA,271,53.97,N,101.1,W
30,71906,YVP,"Kuujjuaq, QB ",North_America,CYVP,KUUJJUAQ,QB,CA,37,58.1,N,68.42,W
31,71908,ZXS,"Prince George, BC ",North_America,CZXS,PRINCE GEORGE,BC,CA,601,53.9,N,122.8,W
32,71913,YYQ,"Churchill, MB ",North_America,CYYQ,CHURCHILL,MN,CA,29,58.75,N,94.07,W
33,71924,YRB,"Resolute, NT ",North_America,CYRB,RESOLUTE BAY,NT,CA,67,74.72,N,94.98,W
34,71925,YCB,"Cambridge Bay, NT ",North_America,CYCB,CAMBRIDGE BAY,NT,CA,27,69.1,N,105.12,W
35,71926,YBK,"Baker Lake, NT ",North_America,CYBK,BAKER LAKE,NT,CA,18,64.3,N,96.08,W
36,71934,YSM,"Fort Smith, NT ",North_America,CYSM,FORT SMITH,NT,CA,203,60.02,N,111.95,W
37,71945,YYE,"Fort Nelson, BC ",North_America,CYYE,FORT NELSON,BC,CA,382,58.83,N,122.6,W
38,71957,YEV,"Inuvik, NT ",North_America,CYEV,INUVIK,NT,CA,68,68.3,N,133.48,W
39,71964,YXY,"Whitehorse, YT ",North_America,CYXY,WHITEHORSE,YK,CA,703,60.72,N,135.07,W
40,72201,EYW,"Key West/Int, FL ",North_America,KEYW,KEY WEST INTL,FL,US,6,24.55,N,81.75,W
41,72202,MFL,"Miami, FL ",North_America,KMIA,MIAMI INTL,FL,US,4,25.82,N,80.28,W
42,72206,JAX,"Jacksonville Intl, FL ",North_America,KJAX,JACKSONVILLE,FL,US,9,30.43,N,81.62,W
43,72208,CHS,"Charleston/Muni, SC ",North_America,KCHS,CHARLESTON,SC,US,14,32.9,N,80.03,W
44,72210,TBW,"Tampa Bay Area, FL ",North_America,KTBW,TAMPA BAY,FL,US,13,27.7,N,82.4,W
45,72214,TLH,"Tallahassee Fsu, FL ",North_America,KTLH,TALLAHASSEE,FL,US,18,30.4,N,84.35,W
46,72215,FFC,"Peachtree City, GA ",North_America,KFFC,ATLANTA/PEACHTREE,GA,US,264,33.37,N,84.57,W
47,72230,BMX,"Shelby County Airport, AL ",North_America,KBMX,BIRMINGHAM/SHELBY,AL,US,178,33.17,N,86.77,W
48,72233,LIX,"Slidell Muni, LA ",North_America,KSIL,SLIDELL,LA,US,3,30.25,N,89.77,W
49,72235,JAN,"Jackson Thompson Fld, MS ",North_America,KJAN,JACKSON,MS,US,101,32.32,N,90.08,W
50,72240,LCH,"Lake Charles/Muni, LA ",North_America,KLCH,LAKE CHARLES,LA,US,10,30.12,N,93.22,W
51,72248,SHV,"Shreveport Reg, LA ",North_America,KSHV,SHREVEPORT WSO,LA,US,84,32.45,N,93.47,W
52,72249,FWD,"Ft Worth, TX ",North_America,KFWD,FORT WORTH,TX,US,196,32.8,N,97.3,W
53,72250,BRO,"Brownsville Intl, TX ",North_America,KBRO,BROWNSVILLE,TX,US,6,25.9,N,97.43,W
54,72251,CRP,"Corpus Christi Intl, TX ",North_America,KCRP,CORPUS CHRISTI,TX,US,13,27.77,N,97.5,W
55,72265,MAF,"Midland/Midland Reg, TX ",North_America,KMAF,MIDLAND REGIONAL,TX,US,872,31.95,N,102.18,W
56,72274,TUS,"Tucson, AZ ",North_America,KTUS,TUCSON,AZ,US,779,32.12,N,110.93,W
57,72293,NKX,"San Diego/Miramar, CA ",North_America,KMYF,SAN DIEGO,CA,US,124,32.82,N,117.13,W
58,72305,MHX,"Newport, NC ",North_America,KMHX,MOREHEAD/NEWPORT,NC,US,11,34.7,N,76.8,W
59,72317,GSO,"Greensboro/High Pt, NC ",North_America,KGSO,GREENSBORO-HIGH,NC,US,270,36.08,N,79.95,W
60,72318,RNK,"Blacksburg, VA ",North_America,KRNK,ROANOKE,VA,US,648,37.2,N,80.42,W
61,72327,BNA,"Nashville/Old Hickory, TN ",North_America,KBNA,NASHVILLE,TN,US,180,36.12,N,86.68,W
62,72340,LZK,"Little Rock/Adams, AR ",North_America,KLZK,LITTLE ROCK,AR,US,165,34.13,N,92.25,W
63,72357,OUN,"Norman/Westheimer, OK ",North_America,KOUN,NORMAN,OK,US,362,35.23,N,97.47,W
64,72363,AMA,"Amarillo Arpt(Awos), TX ",North_America,KAMA,AMARILLO,TX,US,1099,35.23,N,101.7,W
65,72364,EPZ,"Santa Teresa, NM ",North_America,KEPZ,EL PASO,TX,US,1377,31.9,N,106.7,W
66,72365,ABQ,"Albuquerque/Int, NM ",North_America,KABQ,ALBUQUERQUE,NM,US,1613,35.05,N,106.6,W
67,72376,FGZ,"Flagstaff, AZ ",North_America,KFSX,FLAGSTAFF,AZ,US,2192,35.23,N,111.82,W
68,72388,VEF,"Las Vegas, NV ",North_America,KVEF,LAS VEGAS,NV,US,697,36.05,N,115.18,W
69,72393,VBG,"Vandenberg Afb, Vandenberg Afb, CA ",North_America,KVBG,VANDENBERG AFB,CA,US,112,34.73,N,120.58,W
70,72402,WAL,"Wallops Island, VA ",North_America,KWAL,WALLOPS ISLAND,VA,US,3,37.85,N,75.48,W
71,72403,IAD,"Sterling, VA ",North_America,KIAD,WASHINGTON/DULLES,VA,US,98,38.95,N,77.45,W
72,72426,ILN,"Wilmington, OH ",North_America,KILN,WILMINGTON,OH,US,307,39.42,N,83.82,W
73,72440,SGF,"Springfield/Muno., MO ",North_America,KSGF,SPRINGFIELD,MO,US,392,37.23,N,93.4,W
74,72451,DDC,"Dodge City(Awos), KS ",North_America,KDDC,DODGE CITY,KS,US,790,37.77,N,99.97,W
75,72456,TOP,"Topeka/Billard Muni, KS ",North_America,KTOP,TOPEKA/BILLARD,KS,US,270,39.07,N,95.62,W
76,72476,GJT,"Grand Junction/Walker, CO ",North_America,KGJT,GRAND JUNCTION,CO,US,1475,39.12,N,108.53,W
