LINTYP,PRESSURE,HEIGHT,TEMP,DEWPT,WIND DIR,WIND SPD
9,10110,10,286,196,100,11
5,10090,27,264,194,99999,99999
5,10080,36,266,196,99999,99999
4,10000,106,264,184,100,11
5,9990,115,264,184,99999,99999
5,9930,168,250,190,99999,99999
6,9776,304,99999,99999,110,10
4,9250,787,196,172,210,3
5,9240,796,194,171,99999,99999
5,9200,833,194,168,99999,99999
5,9130,898,196,151,99999,99999
6,9113,914,99999,99999,170,2
5,9060,964,194,144,99999,99999
5,8900,1116,190,140,99999,99999
5,8710,1300,180,110,99999,99999
5,8530,1477,164,104,99999,99999
4,8500,1514,162,112,305,3
5,8380,1634,150,139,99999,99999
5,8300,1715,152,125,99999,99999
5,8280,1735,154,94,99999,99999
5,8260,1755,156,86,99999,99999
5,8230,1786,156,106,99999,99999
5,8190,1827,170,10,99999,99999
6,8189,1828,99999,99999,355,10
5,8160,1858,174,-16,99999,99999
5,8140,1879,170,50,99999,99999
5,8090,1931,180,-10,99999,99999
5,7900,2133,184,-96,99999,99999
6,7900,2133,99999,99999,170,1
5,7430,2652,146,-134,99999,99999
5,7400,2686,144,-76,99999,99999
5,7040,3103,116,-154,99999,99999
4,7000,3158,118,-192,245,10
5,6920,3254,112,-228,99999,99999
6,6838,3352,99999,99999,240,11
5,6410,3885,68,-182,99999,99999
6,6350,3962,99999,99999,275,11
6,6116,4267,99999,99999,280,8
5,6040,4369,42,-298,99999,99999
5,5850,4627,26,-164,99999,99999
5,5710,4822,12,-228,99999,99999
6,5671,4876,99999,99999,0,0
5,5290,5429,-33,-203,99999,99999
5,5280,5444,-33,-223,99999,99999
5,5260,5474,-33,-183,99999,99999
5,5100,5717,-41,-221,99999,99999
5,5080,5748,-41,-231,99999,99999
5,5040,5810,-45,-195,99999,99999
4,5000,5880,-49,-219,355,6
5,4750,6280,-71,-281,99999,99999
5,4710,6346,-73,-253,99999,99999
6,4677,6400,99999,99999,345,10
5,4580,6563,-91,-331,99999,99999
5,4550,6614,-95,-265,99999,99999
5,4340,6976,-125,-255,99999,99999
5,4270,7100,-131,-311,99999,99999
5,4160,7298,-149,-279,99999,99999
6,4151,7315,99999,99999,315,12
5,4130,7353,-153,-293,99999,99999
4,4000,7600,-169,-349,335,8
5,3860,7866,-189,-399,99999,99999
5,3680,8219,-209,-449,99999,99999
6,3522,8534,99999,99999,25,10
4,3000,9690,-337,-487,15,18
6,2973,9753,99999,99999,15,20
6,2844,10058,99999,99999,20,16
5,2750,10291,-393,-523,99999,99999
5,2690,10441,-401,-571,99999,99999
5,2670,10492,-407,-547,99999,99999
6,2602,10668,99999,99999,15,17
4,2500,10940,-443,-583,10,17
6,2488,10972,99999,99999,360,18
5,2440,11102,-457,-587,99999,99999
5,2420,11157,-461,-621,99999,99999
5,2400,11212,-461,-651,99999,99999
5,2370,11295,-463,-653,99999,99999
6,2165,11887,99999,99999,20,17
5,2150,11932,-521,-651,99999,99999
5,2090,12114,-537,-637,99999,99999
5,2070,12176,-541,-631,99999,99999
5,2050,12238,-543,-663,99999,99999
5,2020,12332,-547,-687,99999,99999
4,2000,12390,-551,-671,360,28
5,1990,12422,-551,-671,99999,99999
5,1970,12486,-549,-699,99999,99999
6,1967,12496,99999,99999,360,29
5,1870,12817,-559,-739,99999,99999
6,1785,13106,99999,99999,15,17
6,1699,13411,99999,99999,360,11
6,1618,13716,99999,99999,10,11
5,1570,13901,-659,-749,99999,99999
6,1541,14020,99999,99999,330,10
4,1500,14190,-669,-769,330,23
6,1467,14326,99999,99999,330,23
5,1440,14436,-675,-795,99999,99999
6,1324,14935,99999,99999,315,16
5,1310,14999,-709,-829,99999,99999
5,1230,15370,-724,-844,99999,99999
6,1194,15544,99999,99999,345,20
6,1133,15849,99999,99999,340,26
5,1110,15968,-749,-839,99999,99999
6,1075,16154,99999,99999,350,24
5,1060,16236,-739,-849,99999,99999
6,1020,16459,99999,99999,25,14
4,1000,16570,-764,-854,135,3
6,967,16764,99999,99999,0,0
7,954,16839,-781,-861,320,5
6,870,17373,99999,99999,300,17
5,832,17634,-735,-865,99999,99999
6,826,17678,99999,99999,330,10
6,783,17983,99999,99999,275,1
5,780,18008,-761,-871,99999,99999
6,743,18288,99999,99999,275,10
5,715,18514,-721,-881,99999,99999
4,700,18640,-721,-881,305,6
6,605,19507,99999,99999,220,1
5,583,19723,-685,-895,99999,99999
6,519,20421,99999,99999,90,10
5,510,20524,-679,-909,99999,99999
4,500,20650,-667,-907,85,10
6,494,20726,99999,99999,115,13
5,486,20822,-653,-903,99999,99999
6,470,21031,99999,99999,75,11
6,447,21336,99999,99999,100,11
6,425,21640,99999,99999,115,11
5,401,22002,-605,-885,99999,99999
6,385,22250,99999,99999,75,10
5,370,22501,-611,-881,99999,99999
6,349,22860,99999,99999,115,18
5,339,23047,-581,-871,99999,99999
6,333,23164,99999,99999,140,12
5,311,23587,-591,-871,99999,99999
5,303,23750,-579,-869,99999,99999
4,300,23820,-583,-873,160,8
5,299,23841,-585,-875,99999,99999
6,288,24079,99999,99999,155,12
5,275,24370,-551,-851,99999,99999
6,274,24384,99999,99999,40,10
5,253,24900,-561,-861,99999,99999
6,249,24993,99999,99999,120,17
5,241,25209,-543,-853,99999,99999
6,238,25298,99999,99999,120,14
5,232,25452,-555,-855,99999,99999
6,227,25603,99999,99999,80,15
6,216,25908,99999,99999,90,19
4,200,26410,-531,-841,95,13
6,197,26517,99999,99999,85,16
6,188,26822,99999,99999,95,13
6,171,27432,99999,99999,45,16
5,169,27502,-493,-823,99999,99999
6,156,28041,99999,99999,85,11
5,140,28738,-475,-815,99999,99999
5,130,29226,-481,-821,99999,99999
5,114,30096,-445,-805,99999,99999
4,100,30980,-435,-805,280,4
5,94,31393,-453,-813,99999,99999
6,94,31394,99999,99999,235,2
5,85,32064,-445,-805,99999,99999
5,82,32303,-463,-813,99999,99999
6,75,32918,99999,99999,290,1
5,72,33169,-439,-809,99999,99999
4,70,33360,-445,-805,235,12
